time_ts,winter_flag,spring_flag,summer_flag,fall_flag,outdoor_temp_c,humidity_pct,cloud_cover_pct,solar_radiation_w_m2,hour_of_day,day_of_week,month_num,day_of_year,is_weekend,is_holiday,is_peak_hour,lighting_kw,hvac_kw,special_equipment_kw,use_kw,building_Hospital,building_House1,building_House10,building_House11,building_House12,building_House13,building_House14,building_House15,building_House2,building_House3,building_House4,building_House5,building_House6,building_House7,building_House8,building_House9,building_Industry1,building_Industry2,building_Industry3,building_Office1,building_Office2,building_Office3,building_Office4,building_School
2023-01-01 00:00:00,1,0,0,0,-10.0,90.36,42.76,0.0,0,6,1,1,1,1,0,1.7337,2.9853,6.0873,10.8217,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-8.34,86.46,37.17,0.0,0,6,1,1,1,1,0,0.9624,0.8049,2.7218,4.472,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-01-01 00:00:00,1,0,0,0,-10.0,88.18,59.98,0.0,0,6,1,1,1,1,0,1.1974,0.8577,2.9165,4.9464,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-8.77,88.08,49.17,0.0,0,6,1,1,1,1,0,0.1758,0.2711,0.4441,0.894,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-5.13,84.48,58.64,0.0,0,6,1,1,1,1,0,2.1275,1.7198,14.6604,18.523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-8.59,88.66,47.57,0.0,0,6,1,1,1,1,0,1.7719,1.7409,13.6666,17.5426,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-6.06,85.35,40.87,0.0,0,6,1,1,1,1,0,2.1594,1.6899,17.062,20.9584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-10.0,90.27,46.66,0.0,0,6,1,1,1,1,0,0.1503,0.2574,0.5071,0.8891,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-10.0,89.98,49.38,0.0,0,6,1,1,1,1,0,0.1511,0.2711,0.4643,0.8941,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-10.0,89.8,39.37,0.0,0,6,1,1,1,1,0,0.5256,0.7078,2.0333,3.2297,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2023-01-01 00:00:00,1,0,0,0,-10.0,91.63,26.59,0.0,0,6,1,1,1,1,0,1.3138,0.9179,3.3155,5.5485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2023-01-01 00:00:00,1,0,0,0,-5.21,84.61,58.14,0.0,0,6,1,1,1,1,0,0.2866,0.3207,0.6876,1.3014,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-01 00:00:00,1,0,0,0,-9.07,87.55,49.53,0.0,0,6,1,1,1,1,0,0.3126,0.3255,0.7016,1.3486,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
